threshold,precision_1,recall_1,f1_1,tp,fp,tn,fn
0.05,0.13834323663054876,0.7504740235115662,0.23362058788808876,1979,12326,29041,658
0.1,0.1841168528292623,0.5688282138794084,0.27818991097922846,1500,6647,34720,1137
0.15,0.23358288770053476,0.4141069397042093,0.2986870897155361,1092,3583,37784,1545
0.2,0.317600352889281,0.27303754266211605,0.2936378466557912,720,1547,39820,1917
0.25,0.426431718061674,0.18354190367842246,0.256627783669141,484,651,40716,2153
0.3,0.503586800573888,0.13310580204778158,0.21055788842231554,351,346,41021,2286
0.35,0.561965811965812,0.09973454683352294,0.16940418679549113,263,205,41162,2374
0.39999999999999997,0.5830903790087464,0.07584376185058779,0.1342281879194631,200,143,41224,2437
0.44999999999999996,0.6070038910505836,0.05915813424345848,0.1078092605390463,156,101,41266,2481
0.49999999999999994,0.6130653266331658,0.04626469472885855,0.08603667136812412,122,77,41290,2515
0.5499999999999999,0.6158940397350994,0.03526734926052332,0.0667144906743185,93,58,41309,2544
0.6,0.6160714285714286,0.026166097838452786,0.050200072753728626,69,43,41324,2568
0.65,0.5370370370370371,0.010997345468335229,0.021553325901151988,29,25,41342,2608
0.7,0.52,0.004929844520288207,0.009767092411720512,13,12,41355,2624
0.75,0.6,0.0034129692832764505,0.006787330316742082,9,6,41361,2628
0.7999999999999999,0.6363636363636364,0.0026545316647705727,0.005287009063444109,7,4,41363,2630
0.85,0.7142857142857143,0.0018960940462646946,0.0037821482602118004,5,2,41365,2632
0.9,0.75,0.0011376564277588168,0.002271866717152594,3,1,41366,2634
0.95,0.0,0.0,0.0,0,1,41366,2637
