threshold,precision_1,recall_1,f1_1,tp,fp,tn,fn
0.05,0.16068705353559676,0.7591960561243838,0.2652358240593535,2002,10457,30910,635
0.1,0.22592959140393043,0.6059916571861964,0.32914521112255407,1598,5475,35892,1039
0.15,0.27722772277227725,0.49905195297686766,0.3564463705308776,1316,3431,37936,1321
0.2,0.3200824499411072,0.41221084565794464,0.36035140062986903,1087,2309,39058,1550
0.25,0.3593260188087774,0.347743648084945,0.3534399691655425,917,1635,39732,1720
0.3,0.39351851851851855,0.2901023890784983,0.33398821218074654,765,1179,40188,1872
0.35,0.4359838274932615,0.2453545695866515,0.3140014559572919,647,837,40530,1990
0.39999999999999997,0.47405452946350046,0.2043989381873341,0.2856385797562268,539,598,40769,2098
0.44999999999999996,0.49138920780711826,0.16230565036025787,0.24401368301026224,428,443,40924,2209
0.49999999999999994,0.5274725274725275,0.12741751990898748,0.20525351252290777,336,301,41066,2301
0.5499999999999999,0.5477707006369427,0.09783845278725825,0.16602316602316602,258,213,41154,2379
0.6,0.5925925925925926,0.07281001137656427,0.12968591691995948,192,132,41235,2445
0.65,0.6,0.04778156996587031,0.08851422550052687,126,84,41283,2511
0.7,0.6052631578947368,0.026166097838452786,0.05016357688113413,69,45,41322,2568
0.75,0.5833333333333334,0.013272658323852863,0.025954764553207266,35,25,41342,2602
0.7999999999999999,0.5806451612903226,0.006825938566552901,0.013493253373313344,18,13,41354,2619
0.85,0.6666666666666666,0.0037921880925293893,0.007541478129713424,10,5,41362,2627
0.9,0.6,0.0022753128555176336,0.004533434076312807,6,4,41363,2631
0.95,0.6666666666666666,0.0007584376185058779,0.0015151515151515152,2,1,41366,2635
